Año,Fecha,Muestreo No,Punto de muestreo,Punto,Rio,Cordenadas,ICA_IDEAM,OD (%),pH,DQO (mg/L),CE (µS/cm),SST (mg/L)
2016,Diciembre 6 de 2016,2,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,(3.454159;-76.582725),0.88,106.09,7.96,12.00,146.90,11.57
2016,Diciembre 6 de 2016,2,"Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia)",Intermedio,Cali,(3.450854;-76.545478),0.88,98.18,7.58,12.00,146.20,20.50
2016,Diciembre 6 de 2016,2,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,(3.462238;-76.522464),0.87,104.68,7.92,12.00,148.90,21.40
2016,Diciembre 6 de 2016,2,"Intermedio (Frente al barrio La Isla, Puente Cancha Vivero)",Intermedio,Cali,(3.472989;-76.514449),0.85,96.67,6.77,16.53,150.80,23.48
2016,Diciembre 6 de 2016,2,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,(3.488176;-76.503429),0.86,93.83,7.39,12.00,156.80,26.50
2016,Diciembre 6 de 2016,2,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,(3.505551;-76.494079),0.55,60.64,7.47,78.60,255.00,28.00
2016,Diciembre 5 de 2016,2,Entrada al perimetro urbano (Colegio Ideas),Entrada,Cañaveralejo,(3.411012;-76.568899),0.77,65.39,7.37,12.00,202.80,11.57
2016,Diciembre 5 de 2016,2,Intermedio  (Plaza de Toros),Intermedio,Cañaveralejo,(3.410114;-76.548981),0.70,54.02,7.43,29.66,261.00,13.00
2016,Diciembre 5 de 2016,2,"Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17)",Salida,Cañaveralejo,(3.406276;-76.526477),0.53,62.89,7.37,76.47,371.00,85.00
2016,Diciembre 5 de 2016,2,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,(3.363799;-76.544643),0.61,56.26,6.28,13.70,338.00,51.00
2016,Diciembre 5 de 2016,2,Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31),Intermedio,Lili,(3.365467;-76.531406),0.77,77.52,6.54,12.00,189.10,11.20
2016,Diciembre 5 de 2016,2,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,(3.362489;-76.523748),0.75,57.35,6.57,12.32,162.20,9.80
2016,Diciembre 6 de 2016,2,"Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar)",Entrada,Melendez,(3.376495;-76.562282),0.93,94.63,7.64,12.00,74.90,22.00
2016,Diciembre 6 de 2016,2,"Intermedio (Pasoancho, Cra 80 Con Cll13)",Intermedio,Melendez,(3.383499;-76.538190),0.89,78.73,7.49,12.00,76.50,26.50
2016,Diciembre 6 de 2016,2,"Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar)",Intermedio,Melendez,(3.387783;-76.523454),0.87,78.67,7.28,12.00,110.40,18.75
2016,Diciembre 6 de 2016,2,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,(3.388238;-76.511798),0.87,80.60,7.52,16.27,121.50,20.00
2016,Diciembre 5 de 2016,2,Entrada al perimetro urbano(Puente Sede DeporCali),Entrada,Pance,(3.337867;-76.550058),0.96,96.13,7.38,12.00,32.30,7.00
2016,Diciembre 5 de 2016,2,"Intermedio (Mina Material de arrastre, Entrada via destapada)",Intermedio,Pance,(3.319117;-76.547228),0.97,101.64,7.15,12.00,35.40,7.12
2016,Diciembre 5 de 2016,2,"Salida ( Puente La Viga, Via Cañas Gordas)",Salida,Pance,(3.310437;-76.543845),0.94,93.37,6.90,12.00,35.20,11.00
2017,Abril 5 de 2017,1,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,(3.455800;-76.571200),0.70,54.74,8.16,12.0,247,7.00
2017,Abril 5 de 2017,1,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,(3.459351;-76.555948),0.67,51.68,8.15,12.0,400,7.00
2017,Abril 5 de 2017,1,"Salida (El Ancla, antes de desembocar el Rio Cali)",Salida,Aguacatal,(3.454500;-76.547700),0.60,47.45,6.12,12.0,380,7.43
2017,Mayo 30 de 2017,1,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,(3.448900;-76.557100),0.84,59.35,7.56,12.0,104,7.00
2017,Mayo 30 de 2017,1,"Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia)",Intermedio,Cali,(3.450854;-76.545478),0.76,59.39,7.17,12.0,196,17.60
2017,Mayo 30 de 2017,1,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,(3.462200;-76.521100),0.75,54.16,7.38,12.0,193,24.50
2017,Mayo 30 de 2017,1,"Intermedio (Frente al barrio La Isla, Puente Cancha Vivero)",Intermedio,Cali,(3.472989;-76.514449),0.75,49.30,7.56,12.0,189,25.00
2017,Mayo 30 de 2017,1,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,(3.488176;-76.503429),0.76,47.74,7.88,12.0,163,26.50
2017,Mayo 30 de 2017,1,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,(3.498500;-76.497300),0.62,44.87,7.48,27.8,216,43.50
2017,Abril 25 de 2017,1,Entrada al perimetro urbano (Colegio Ideas),Entrada,Cañaveralejo,(3.410800;-76.565600),0.76,50.74,7.87,12.0,184,13.00
2017,Abril 25 de 2017,1,Intermedio  (Plaza de Toros),Intermedio,Cañaveralejo,(3.409300;-76.547400),0.62,45.08,7.79,12.9,219,184.00
2017,Abril 25 de 2017,1,"Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17)",Salida,Cañaveralejo,(3.388600;-76.509900),0.29,10.00,6.65,112.8,465,205.00
2017,Abril 4 de 2017,1,Entrada (Al lado de la ecas la riverita - inicio del perimetro urbano)**,Entrada,Lili,(3.364500;-76.544500),0.71,71.86,6.71,12.0,257,14.30
2017,Abril 4 de 2017,1,Salida (Despues del puente via panamericana)**,Salida,Lili,(3.362000;-76.524200),0.83,69.92,6.98,12.0,151,8.50
2017,Abril 25 de 2017,1,"Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar)",Entrada,Melendez,(3.375800;-76.561400),0.92,81.83,7.30,12.0,60,9.62
2017,Abril 25 de 2017,1,"Intermedio (Pasoancho, Cra 80 Con Cll13)",Intermedio,Melendez,(3.383499;-76.538190),0.87,63.03,7.62,12.0,67,10.75
2017,Abril 25 de 2017,1,"Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar)",Intermedio,Melendez,(3.387783;-76.523454),0.86,56.84,7.73,12.0,73,10.16
2017,Abril 25 de 2017,1,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,(3.362100;-76.524300),0.84,45.73,7.20,12.0,36,7.87
2017,Abril 3 de 2017,1,Entrada perimetro urbano K122 Av 10 de Mayo**,Entrada,Pance,(3.342200;-76.551700),0.88,57.57,7.00,12.0,40,7.00
2017,Abril 3 de 2017,1,Salida perimetro urbano K 127 Av  el Banco**,Salida,Pance,(3.331900;-76.550400),0.86,45.73,7.20,12.0,36,7.87
2017,Diciembre 29 de 2017,2,Entrada al perimetro urbano (Las Palmas),Entrada,Aguacatal,(3.455800;-76.571200),0.81,78.89,7.77,12.00,198.00,4.80
2017,Diciembre 29 de 2017,2,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,(3.459351;-76.555948),0.73,72.37,7.36,12.00,408.00,6.00
2017,Diciembre 29 de 2017,2,"Salida(El Ancla, antes de desembocar el Rio Cali)",Salida,Aguacatal,(3.454500;-76.547700),0.73,76.38,7.44,12.00,400.00,7.20
2017,Diciembre 30 de 2017,2,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,(3.448900;-76.557100),0.85,65.95,7.48,12.00,90.30,4.00
2017,Diciembre 30 de 2017,2,"Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia)",Intermedio,Cali,(3.450854;-76.545478),0.77,58.13,7.20,12.00,186.90,15.40
2017,Diciembre 30 de 2017,2,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,(3.462200;-76.521100),0.74,55.87,7.21,12.00,211.30,22.50
2017,Diciembre 30 de 2017,2,"Intermedio (Frente al barrio La Isla, Puente Cancha Vivero)",Intermedio,Cali,(3.472989;-76.514449),0.73,50.95,7.50,12.00,214.00,23.00
2017,Diciembre 30 de 2017,2,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,(3.488176;-76.503429),0.73,53.00,7.72,12.00,217.70,24.20
2017,Diciembre 30 de 2017,2,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,(3.498500;-76.497300),0.61,44.87,7.48,30.14,241.20,25.00
2017,Septiembre 06 de 2017,2,Entrada al perimetro urbano (Colegio Ideas),Entrada,Cañaveralejo,(3.410800;-76.565600),0.59,51.58,7.71,35.37,199.20,149.00
2017,Septiembre 06 de 2017,2,Intermedio  (Plaza de Toros),Intermedio,Cañaveralejo,(3.409300;-76.547400),0.59,48.95,7.82,27.41,218.20,105.00
2017,Septiembre 06 de 2017,2,"Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17)",Salida,Cañaveralejo,(3.388600;-76.509900),0.31,10.77,6.73,93.20,397.00,185.00
2017,Diciembre 21 de 2017,2,Entrada (Finca El Forraje - Vía la Buitrera - Inicio del perimetro urbano)**,Entrada,Lili,(3.364500;-76.544500),0.71,74.75,6.83,12.00,352.00,10.40
2017,Diciembre 21 de 2017,2,Salida (Despues del puente via panamericana)**,Salida,Lili,(3.362000;-76.524200),0.69,70.68,7.02,12.00,190.70,185.00
2017,Diciembre 29 de 2017,2,"Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar)",Entrada,Melendez,(3.375800;-76.561400),0.92,83.90,7.72,12.00,65.00,8.20
2017,Diciembre 29 de 2017,2,"Intermedio (Pasoancho, Cra 80 Con Cll13)",Intermedio,Melendez,(3.383499;-76.538190),0.92,87.43,7.72,12.00,66.30,9.60
2017,Diciembre 29 de 2017,2,"Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar)",Intermedio,Melendez,(3.387783;-76.523454),0.86,67.18,7.82,12.00,97.10,10.00
2017,Diciembre 29 de 2017,2,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,(3.362100;-76.524300),0.88,73.75,7.61,12.00,95.00,9.80
2017,Diciembre 21 de 2017,2,Entrada perimetro urbano K122 Av 10 de Mayo**,Entrada,Pance,(3.342200;-76.551700),0.89,61.01,7.10,12.00,37.80,2.80
2017,Diciembre 21 de 2017,2,Salida perimetro urbano K 127 Av el Banco**,Salida,Pance,(3.331900;-76.550400),0.87,47.97,7.30,12.00,38.50,3.60
2018,Junio 25 de 2018,1,Entrada al perimetro urbano (Las Palmas),Entrada,Aguacatal,(3.460218;-76.579406),0.84,98.71,7.95,13.37,205.00,7.00
2018,Junio 25 de 2018,1,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,(3.459768;-76.552995),0.68,83.34,7.21,35.54,509.00,57.00
2018,Junio 25 de 2018,1,"Salida(El Ancla, antes de desembocar el Rio Cali)",Salida,Aguacatal,(3.454659;-76.547980),0.64,64.60,7.47,35.42,446.00,51.00
2018,Marzo 16 de 2018,1,Entrada Perimetro Urbano  (Frente a Jardin Botanico),Entrada,Cali,(3.448837;-76.569241),0.93,99.49,7.61,12.00,94.10,7.00
2018,Marzo 16 de 2018,1,"Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia)",Intermedio,Cali,(3.451304;-76.543078),0.80,97.18,8.05,12.00,248.00,7.00
2018,Marzo 16 de 2018,1,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,(3.462341;-76.522195),0.78,99.79,8.10,12.00,258.00,7.00
2018,Marzo 16 de 2018,1,"Intermedio (Frente al barrio La Isla, Puente Cancha Vivero)",Intermedio,Cali,(3.474633;-76.513596),0.81,101.62,7.90,12.00,235.00,7.00
2018,Marzo 16 de 2018,1,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,(3.489960;-76.502697),0.76,122.27,8.30,12.00,245.00,14.20
2018,Marzo 16 de 2018,1,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,(3.505370;-76.492764),0.68,48.36,7.61,18.15,265.00,16.20
2018,Junio 21 de 2018,1,Entrada al perimetro urbano (Colegio Ideas),Entrada,Cañaveralejo,(3.410259;-76.568452),0.80,71.64,7.55,15.54,196.30,7.00
2018,Junio 21 de 2018,1,Intermedio  (Plaza de Toros),Intermedio,Cañaveralejo,(3.409684;-76.548357),0.66,44.33,7.43,30.78,239.00,7.43
2018,Junio 21 de 2018,1,Intermedio (Puente Verde),Intermedio,Cañaveralejo,(3.408368;-76.532722),0.33,0.00,6.86,154.52,506.00,158.00
2018,Junio 21 de 2018,1,Salida (Cl 23 Antes descargar Canal Sur),Salida,Cañaveralejo,(3.405670;-76.523878),0.28,1.76,6.60,226.31,451.00,188.00
2018,Junio 22 de 2018,1,"Entrada (Entrada  Perimetro Urbano, finca el forraje, via a la Buitrera.)**",Entrada,Lili,(3.362403;-76.558746),0.65,70.92,6.36,21.79,333.00,72.86
2018,Junio 22 de 2018,1,Salida (Despues del puente via panamericana)**,Salida,Lili,(3.362279;-76.524009),0.71,68.95,6.72,30.24,204.00,13.25
2018,Marzo 22 de 2018,1,Entrada al perimetro urbano (Vía Polvorines puente entrada base militar),Entrada,Melendez,(3.369979;-76.560788),0.93,94.51,7.19,12.00,83.00,9.83
2018,Marzo 22 de 2018,1,"Intermedio (Pasoancho, Cra 80 Con Cll13)",Intermedio,Melendez,(3.383563;-76.537878),0.92,91.71,7.54,12.00,91.00,7.00
2018,Marzo 22 de 2018,1,"Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar)",Intermedio,Melendez,(3.387221;-76.525549),0.82,60.68,7.23,17.90,137.00,7.00
2018,Marzo 22 de 2018,1,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,(3.388860;-76.513012),0.76,67.43,7.36,27.04,180.00,13.40
2018,Marzo 15 de 2018,1,Entrada perimetro urbano 230 (Puente  Via Club Deportivo Cali),Entrada,Pance,(3.337995;-76.550119),0.65,70.92,6.36,21.79,333.00,72.86
2018,Marzo 15 de 2018,1,Salida perimetro urbano (Puente  Via Club Deportivo Cali),Salida,Pance,(3.333624;-76.551304),0.71,68.95,6.72,30.24,204.00,13.25
2018,Septiembre 28 de 2018,2,Entrada al perimetro urbano (Las Palmas),Entrada,Aguacatal,(3.460218;-76.579406),0.81,97.33,8.19,12.00,210.00,7.00
2018,Septiembre 28 de 2018,2,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,(3.459768;-76.552995),0.75,84.28,7.97,16.69,434.00,7.00
2018,Septiembre 28 de 2018,2,"Salida(El Ancla, antes de desembocar el Rio Cali)",Salida,Aguacatal,(3.454659;-76.547980),0.70,82.35,7.78,24.02,470.00,16.83
2018,Septiembre 25 de 2018,2,Entrada Perimetro Urbano  (Frente a Jardin Botanico),Entrada,Cali,(3.448837;-76.569241),0.91,96.60,7.77,12.00,114.00,7.00
2018,Septiembre 25 de 2018,2,"Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia)",Intermedio,Cali,(3.451304;-76.543078),0.77,94.25,7.67,12.00,387.00,7.00
2018,Septiembre 25 de 2018,2,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,(3.462341;-76.522195),0.75,98.98,8.16,12.00,359.00,26.00
2018,Septiembre 25 de 2018,2,"Intermedio (Frente al barrio La Isla, Puente Cancha Vivero)",Intermedio,Cali,(3.474633;-76.513596),0.72,107.96,8.00,20.89,408.00,18.30
2018,Septiembre 25 de 2018,2,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,(3.489960;-76.502697),0.72,106.92,8.48,12.00,389.00,14.00
2018,Septiembre 25 de 2018,2,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,(3.505370;-76.492764),0.53,73.89,7.07,156.08,383.00,85.00
2018,Septiembre 26 de 2018,2,Entrada al perimetro urbano (Colegio Ideas),Entrada,Cañaveralejo,(3.410259;-76.568452),0.74,60.88,7.43,12.00,230.00,12.00
2018,Septiembre 26 de 2018,2,Intermedio  (Plaza de Toros),Intermedio,Cañaveralejo,(3.409684;-76.548357),0.66,54.78,7.84,15.25,255.00,10.83
2018,Septiembre 26 de 2018,2,Intermedio (Puente Verde),Intermedio,Cañaveralejo,(3.408368;-76.532722),0.33,0.00,6.83,227.65,522.00,157.00
2018,Septiembre 26 de 2018,2,Salida (Cl 23 Antes descargar Canal Sur),Salida,Cañaveralejo,(3.405670;-76.523878),0.30,1.74,6.75,293.35,570.00,185.00
2018,Septiembre 7 de 2018,2,"Entrada (Entrada  Perimetro Urbano, finca el forraje, via a la Buitrera.)**",Entrada,Lili,(3.362403;-76.558746),0.58,39.43,6.24,16.42,529.00,25.50
2018,Septiembre 7 de 2018,2,Salida (Despues del puente via panamericana)**,Salida,Lili,(3.362279;-76.524009),0.75,73.81,6.81,12.00,228.00,7.00
2018,Septiembre 11 de 2018,2,Entrada al perimetro urbano (Vía Polvorines puente entrada base militar),Entrada,Melendez,(3.369979;-76.560788),0.84,62.94,7.65,12.00,122.00,7.00
2018,Septiembre 11 de 2018,2,"Intermedio (Pasoancho, Cra 80 Con Cll13)",Intermedio,Melendez,(3.383563;-76.537878),0.86,80.32,7.36,12.00,144.00,7.00
2018,Septiembre 11 de 2018,2,"Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar)",Intermedio,Melendez,(3.387221;-76.525549),0.77,46.52,7.26,13.81,165.00,7.00
2018,Septiembre 11 de 2018,2,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,(3.388860;-76.513012),0.49,29.69,7.20,51.13,334.00,38.12
2018,Agosto 31 de 2018,2,Entrada perimetro urbano 230 (Puente  Via Club Deportivo Cali),Entrada,Pance,(3.337995;-76.550119),0.96,96.07,6.62,12.00,45.50,7.00
2018,Agosto 31 de 2018,2,Salida perimetro urbano (Puente  Via Club Deportivo Cali),Salida,Pance,(3.333624;-76.551304),0.96,100.31,7.07,12.00,45.70,7.00
